movie_id,genre_id
197,6
197,11
198,8
198,15
199,0
199,1
199,17
199,10
200,0
200,12
200,13
201,0
201,9
201,10
202,0
202,9
202,10
203,0
203,18
203,26
204,0
204,18
204,26
205,0
205,1
205,18
205,9
206,0
206,16
207,0
208,0
208,14
209,0
210,8
210,5
210,20
211,0
211,7
211,1
212,8
212,5
212,3
213,0
213,1
214,0
214,1
214,16
215,7
215,12
215,14
215,13
215,11
216,0
216,5
216,6
217,0
218,7
218,1
218,22
219,0
219,1
219,6
219,13
220,0
220,7
220,14
221,0
221,7
221,14
222,0
222,23
222,11
223,0
223,18
224,0
224,14
225,0
226,0
226,5
227,0
227,1
228,0
228,6
228,10
229,4
229,8
229,11
230,0
230,6
230,2
230,3
231,0
231,1
232,0
232,1
233,0
233,7
233,13
234,0
235,8
235,12
235,6
235,13
236,0
236,18
237,4
237,20
237,3
238,4
238,20
238,3
239,0
239,10
239,26
240,4
240,8
240,12
241,0
241,18
242,0
242,4
242,6
242,3
243,0
243,4
243,6
243,3
244,0
244,9
245,0
245,7
245,1
245,9
246,0
246,6
246,3
247,0
247,14
248,0
248,1
249,0
249,12
250,0
250,1
251,5
251,20
251,13
252,0
252,7
253,0
253,2
253,18
253,3
254,0
254,9
254,10
255,0
255,14
256,0
256,5
256,6
257,0
257,4
257,9
